251 LL SCOUT ENGINE W/1062T SLOPE,251,LL SCOUT ENGINE W/1062T SLOPE
520 LL BOX CAB ELECTRIC,520,LL BOX CAB ELECTRIC
2329 VIRGINIAN RECTIFIER,2329,VIRGINIAN RECTIFIER
2330 PA GG-1 GREEN,2330,PA GG-1 GREEN
2332 GG1 (GREEN),2332,GG1 (GREEN)
2340 PA GG-1 (TUSCAN),2340,PA GG-1 (TUSCAN)
2350 NH EP-5 (DECAL PEAL AND TEAR)L,2350,NH EP-5 (DECAL PEAL AND TEAR)L
2351 MILWAUKEE E5,2351,MILWAUKEE E5
2352 PENNSYLVANIA EP-5,2352,PENNSYLVANIA EP-5
2358 GREAT NORTHERN EP-5,2358,GREAT NORTHERN EP-5
2360 PA GG1 (SOLID STRIPE- MINT),2360,PA GG1 (SOLID STRIPE- MINT)
202 UP ALCO,202,UP ALCO
203 UNION PACIFIC ALCO!!!,203,UNION PACIFIC ALCO!!!
204 SANTA FE ALCO AA UNIT,204,SANTA FE ALCO AA UNIT
205 MP ALCO A DUMMY UNIT,205,MP ALCO A DUMMY UNIT
"208,204 SANTA FE ALCO AA","208,204",SANTA FE ALCO AA
208 SANTA FE ALCO A,208,SANTA FE ALCO A
209 NH ALCO AA,209,NH ALCO AA
210 TEXAS SPECIAL ALCO AA,210,TEXAS SPECIAL ALCO AA
210P/210D TEXAS SPECIAL ALCO AA,210P/210D,TEXAS SPECIAL ALCO AA
211 TEXAS SPECIAL ALCO AA,211,TEXAS SPECIAL ALCO AA
212 USMC ALCO A,212,USMC ALCO A
212T USMC DUMMY A UNIT,212T,USMC DUMMY A UNIT
213 M & ST L ALCO AA,213,M & ST L ALCO AA
215 SANTA FE AB UNITS,215,SANTA FE AB UNITS
216 BURLINGTON ALCO DIESEL A UNIT,216,BURLINGTON ALCO DIESEL A UNIT
217 BOSTON & MAINE B UNIT,217,BOSTON & MAINE B UNIT
218C SANTA FE ALCO B UNIT,218C,SANTA FE ALCO B UNIT
218 SANTA FE ALCO AA UNITS,218,SANTA FE ALCO AA UNITS
218/212 SANTA FE ALCO AA,218/212,SANTA FE ALCO AA
218/218 SF ALCO AA UNITS,218/218,SF ALCO AA UNITS
219 MISSOURI PACIFIC ALCO AA,219,MISSOURI PACIFIC ALCO AA
220 SANTA FE ALCO AA,220,SANTA FE ALCO AA
221 ENGINE W/221T TNDR (CAST ALUM),221,ENGINE W/221T TNDR (CAST ALUM)
221W NEW YORK CENTRAL TENDER,221W,NEW YORK CENTRAL TENDER
222 RIO GRANDE ALCO,222,RIO GRANDE ALCO
223 SANTA FE AB ALCO UNITS,223,SANTA FE AB ALCO UNITS
224 NAVY ALCO AB,224,NAVY ALCO AB
225 C & O ALCO DIESEL AA UNIT,225,C & O ALCO DIESEL AA UNIT
226 B&M ALCO AB UNITS,226,B&M ALCO AB UNITS
227 CN ALCO A,227,CN ALCO A
228 ALCO (WIERD CAMAFLOGUE COLOR),228,ALCO (WIERD CAMAFLOGUE COLOR)
229 M & ST L ALCO A,229,M & ST L ALCO A
